Filename: C:\Program Files\Exelis\ENVI51\classic\data\can_tmr.img
Dims: Full Scene (256,000 points)

Basic Stats	  Min	  Max	     Mean	    Stdev
           	   23	   9120	  62210	  3.5625	 24.3008
           	   24	   6671	  68881	  2.6059	 26.9066
           	   25	   6922	  75803	  2.7039	 29.6105
           	   26	   7770	  83573	  3.0352	 32.6457
           	   27	  12664	  96237	  4.9469	 37.5926
           	   28	   9163	 105400	  3.5793	 41.1719
           	   29	  10187	 115587	  3.9793	 45.1512
           	   30	  16986	 132573	  6.6352	 51.7863
           	   31	  11387	 143960	  4.4480	 56.2344
           	   32	  11427	 155387	  4.4637	 60.6980
           	   33	  11815	 167202	  4.6152	 65.3133
           	   34	  17154	 184356	  6.7008	 72.0141
           	   35	  10396	 194752	  4.0609	 76.0750
           	   36	   9610	 204362	  3.7539	 79.8289
           	   37	   8877	 213239	  3.4676	 83.2965
           	   38	   7723	 220962	  3.0168	 86.3133
           	   39	   8943	 229905	  3.4934	 89.8066
           	   40	   4771	 234676	  1.8637	 91.6703
           	   41	   3909	 238585	  1.5270	 93.1973
           	   42	   2980	 241565	  1.1641	 94.3613
           	   43	   3360	 244925	  1.3125	 95.6738
           	   44	   1785	 246710	  0.6973	 96.3711
           	   45	   1558	 248268	  0.6086	 96.9797
           	   46	   1895	 250163	  0.7402	 97.7199
           	   47	   1088	 251251	  0.4250	 98.1449
           	   48	    927	 252178	  0.3621	 98.5070
           	   49	    799	 252977	  0.3121	 98.8191
           	   50	    935	 253912	  0.3652	 99.1844
           	   51	    463	 254375	  0.1809	 99.3652
           	   52	    393	 254768	  0.1535	 99.5187
           	   53	    307	 255075	  0.1199	 99.6387
           	   54	    328	 255403	  0.1281	 99.7668
           	   55	    189	 255592	  0.0738	 99.8406
           	   56	    122	 255714	  0.0477	 99.8883
           	   57	     71	 255785	  0.0277	 99.9160
           	   58	     83	 255868	  0.0324	 99.9484
           	   59	     31	 255899	  0.0121	 99.9605
           	   60	     16	 255915	  0.0063	 99.9668
           	   61	     15	 255930	  0.0059	 99.9727
           	   62	     13	 255943	  0.0051	 99.9777
           	   63	     16	 255959	  0.0063	 99.9840
           	   64	      8	 255967	  0.0031	 99.9871
           	   65	      6	 255973	  0.0023	 99.9895
           	   66	      8	 255981	  0.0031	 99.9926
           	   67	      1	 255982	  0.0004	 99.9930
           	   68	      2	 255984	  0.0008	 99.9938
           	   69	      0	 255984	  0.0000	 99.9938
           	   70	      4	 255988	  0.0016	 99.9953
           	   71	      0	 255988	  0.0000	 99.9953
           	   72	      1	 255989	  0.0004	 99.9957
           	   73	      1	 255990	  0.0004	 99.9961
           	   74	      1	 255991	  0.0004	 99.9965
           	   75	      2	 255993	  0.0008	 99.9973
           	   76	      0	 255993	  0.0000	 99.9973
           	   77	      0	 255993	  0.0000	 99.9973
           	   78	      0	 255993	  0.0000	 99.9973
           	   79	      0	 255993	  0.0000	 99.9973
           	   80	      0	 255993	  0.0000	 99.9973
           	   81	      1	 255994	  0.0004	 99.9977
           	   82	      2	 255996	  0.0008	 99.9984
           	   83	      1	 255997	  0.0004	 99.9988
           	   84	      0	 255997	  0.0000	 99.9988
           	   85	      0	 255997	  0.0000	 99.9988
           	   86	      1	 255998	  0.0004	 99.9992
           	   87	      1	 255999	  0.0004	 99.9996
           	   88	      0	 255999	  0.0000	 99.9996
           	   89	      0	 255999	  0.0000	 99.9996
           	   90	      0	 255999	  0.0000	 99.9996
           	   91	      0	 255999	  0.0000	 99.9996
           	   92	      0	 255999	  0.0000	 99.9996
           	   93	      0	 255999	  0.0000	 99.9996
           	   94	      0	 255999	  0.0000	 99.9996
           	   95	      0	 255999	  0.0000	 99.9996
           	   96	      0	 255999	  0.0000	 99.9996
           	   97	      0	 255999	  0.0000	 99.9996
           	   98	      0	 255999	  0.0000	 99.9996
           	   99	      0	 255999	  0.0000	 99.9996
           	  100	      1	 256000	  0.0004	100.0000

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 6     	    0	     14	     14	  0.0055	  0.0055
           	    1	    224	    238	  0.0875	  0.0930
           	    2	    688	    926	  0.2687	  0.3617
           	    3	   2791	   3717	  1.0902	  1.4520
           	    4	   1120	   4837	  0.4375	  1.8895
           	    5	   2430	   7267	  0.9492	  2.8387
           	    6	   1346	   8613	  0.5258	  3.3645
           	    7	   2995	  11608	  1.1699	  4.5344
           	    8	   1668	  13276	  0.6516	  5.1859
